,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,target,y_pred
670,23,29,146.31,614.24,148,234900,74.55,11.46,2345.0,0.15,100.2,0.17,0.19,0.23,0.16,0.07,37.28,28.98,1.12,0.17,0.19,69.09,0,1.08,239.69,0.18,3.83,0.59,2.65,-1.47,-0.51,1.22,0.0,1.22,13,810,0.0,23.41,102,73,1049.57,127.28,101.82,53.67,10.31,1,3872.54,66.2,6.31,0,0
671,24,59,83.12,594.59,171,477900,70.07,12.78,3864.0,0.18,123.7,0.18,0.19,0.25,0.13,0.12,39.35,28.66,1.05,0.18,0.19,69.09,0,1.01,239.69,0.18,3.83,0.86,3.76,-1.16,-0.52,1.22,0.0,1.22,26,1710,0.0,31.24,102,73,1272.79,458.91,238.49,136.01,5.34,0,3607.63,66.15,6.13,0,0
672,25,18,334.39,659.11,175,145800,66.5,9.8,1461.0,0.15,99.8,0.23,0.25,0.29,0.2,0.09,23.23,16.75,1.0,0.23,0.25,69.09,0,0.96,239.69,0.18,3.83,0.25,2.4,-2.14,-0.74,1.22,0.0,1.22,11,630,0.0,14.64,102,73,630.0,180.0,115.71,43.92,5.44,0,15866.2,66.33,6.86,0,0
673,26,31,3.77,478.87,75,251100,70.06,16.34,1715.0,0.23,146.4,0.4,0.49,0.91,0.14,0.77,26.02,15.11,1.05,0.32,0.43,69.09,0,1.01,239.69,0.18,3.83,0.4,3.22,-0.7,-0.32,1.09,0.0,1.09,13,720,0.0,11.71,102,73,742.16,371.08,194.46,105.68,3.82,0,6024.62,65.97,6.0,0,0
674,27,33,7.7,512.15,90,267300,74.64,9.45,2530.0,0.13,105.7,0.14,0.15,0.19,0.11,0.08,61.72,45.52,1.12,0.14,0.15,69.09,0,1.08,239.69,0.18,3.83,0.24,2.14,-0.87,-0.14,1.22,0.0,1.22,16,900,0.0,23.95,102,73,720.0,270.0,180.0,48.11,4.0,0,4384.37,66.01,5.97,0,0
675,28,48,122.65,533.54,149,388800,65.94,18.26,3054.0,0.28,127.3,0.24,0.28,0.38,0.19,0.19,20.74,14.6,0.99,0.25,0.28,69.09,0,0.95,239.69,0.18,3.83,0.74,3.36,-1.44,-0.39,1.22,0.0,1.22,21,1350,0.0,23.99,102,73,1173.46,324.5,193.37,90.99,6.07,0,5398.79,66.08,6.32,0,0
676,29,32,74.66,543.84,168,259200,70.25,11.38,2345.0,0.16,110.5,0.2,0.21,0.27,0.17,0.1,49.32,24.21,1.06,0.18,0.21,69.09,0,1.02,239.69,0.18,3.83,0.39,2.44,-1.06,-0.58,1.22,0.0,1.22,17,1080,0.0,21.22,102,73,1113.24,270.0,142.5,60.17,7.81,0,4320.54,66.08,6.15,0,0
677,30,23,653.7,454.48,140,186300,67.09,15.62,1392.0,0.23,133.8,0.26,0.3,0.39,0.22,0.16,19.57,12.51,1.01,0.26,0.29,69.09,0,0.97,239.69,0.18,3.83,0.78,3.27,-2.18,-0.39,1.22,0.0,1.22,10,540,0.0,10.4,102,73,509.12,254.56,159.1,63.64,3.2,0,33913.51,66.18,8.08,0,1
678,31,15,149.8,663.07,151,121500,62.73,13.86,1101.0,0.22,110.4,0.22,0.26,0.31,0.19,0.12,27.74,14.95,0.94,0.22,0.27,69.09,0,0.91,239.69,0.18,3.83,0.02,2.24,-1.51,-0.26,1.22,0.0,1.22,12,900,0.01,9.98,102,73,524.79,127.28,127.28,0.0,4.12,0,4529.54,66.27,6.27,0,0
679,32,31,45.94,613.35,6,251100,72.68,9.09,1535.0,0.12,163.6,0.17,0.16,0.18,0.12,0.06,51.54,44.94,1.09,0.15,0.15,69.09,0,1.05,239.69,0.18,3.83,0.28,2.56,-0.96,-0.48,1.22,0.0,1.22,12,630,0.0,9.38,102,73,540.0,450.0,345.0,144.19,1.57,0,3113.33,66.16,5.99,0,0
680,33,17,110.18,555.24,179,137700,65.65,8.11,1334.0,0.12,103.2,0.18,0.21,0.28,0.14,0.13,40.19,24.76,0.99,0.18,0.21,69.09,0,0.95,239.69,0.18,3.83,0.04,3.41,-1.45,-0.73,1.22,0.0,1.22,9,630,0.0,12.92,102,73,720.0,180.0,90.0,48.11,8.0,0,4609.12,66.11,6.25,0,0
681,34,13,52.92,580.92,24,105300,61.69,6.99,847.0,0.11,124.3,0.18,0.2,0.22,0.19,0.03,35.37,24.14,0.93,0.18,0.2,69.09,0,0.89,239.69,0.18,3.83,-0.97,3.57,-1.66,-0.56,1.09,0.0,1.09,9,630,0.01,6.81,102,73,484.66,180.0,126.0,49.3,3.85,0,3414.04,66.12,6.05,0,0
682,35,20,108.15,626.25,114,162000,74.7,16.77,1641.0,0.22,98.7,0.19,0.2,0.25,0.15,0.1,29.93,25.73,1.12,0.19,0.21,69.09,0,1.08,239.69,0.18,3.83,0.93,3.17,-1.37,-0.29,1.09,0.0,1.09,14,810,0.01,16.62,102,73,569.21,201.25,138.54,53.74,4.11,0,3298.43,66.2,6.17,0,0
683,36,23,99.26,481.09,159,186300,68.26,13.3,1641.0,0.2,113.5,0.18,0.21,0.29,0.16,0.13,32.7,24.44,1.03,0.19,0.21,69.09,0,0.99,239.69,0.18,3.83,1.62,7.3,-1.49,-0.41,1.22,0.0,1.22,14,900,0.0,14.45,102,73,569.21,201.25,138.54,53.74,4.11,0,6138.39,66.01,6.3,0,0
684,37,33,22.18,622.15,131,267300,70.21,11.03,2366.0,0.16,113.0,0.15,0.16,0.24,0.09,0.14,59.76,41.91,1.06,0.15,0.16,69.09,0,1.02,239.69,0.18,3.83,0.4,3.33,-0.84,-0.14,1.09,0.0,1.09,19,1170,0.0,20.94,102,73,890.95,254.56,145.46,87.83,6.12,0,3845.94,66.16,5.91,0,0
685,38,15,32.47,582.13,156,121500,73.27,12.11,1080.0,0.17,112.5,0.14,0.15,0.19,0.13,0.06,53.18,46.5,1.1,0.14,0.15,69.09,0,1.06,239.69,0.18,3.83,0.86,2.91,-1.01,-0.49,1.09,0.0,1.09,14,990,0.01,9.6,102,73,685.42,201.25,105.89,84.66,6.47,0,3285.95,66.11,5.98,0,0
686,39,46,22.0,549.41,142,372600,68.54,16.65,2403.0,0.24,155.1,0.19,0.21,0.26,0.13,0.13,38.56,24.62,1.03,0.18,0.21,69.09,0,0.99,239.69,0.18,3.83,1.94,8.87,-0.84,-0.42,1.22,0.0,1.22,18,1080,0.0,15.5,102,73,774.21,509.12,328.84,196.33,2.35,0,3406.44,66.07,5.98,0,0
687,40,23,45.17,544.09,178,186300,71.91,11.56,1694.0,0.16,110.0,0.17,0.18,0.2,0.15,0.05,41.4,32.56,1.08,0.17,0.18,69.09,0,1.04,239.69,0.18,3.83,1.52,5.11,-0.98,-0.56,1.22,0.0,1.22,10,810,0.0,15.4,102,73,540.0,180.0,165.0,36.74,3.27,0,3547.01,66.07,6.06,0,0
688,41,108,74.38,603.7,140,874800,76.33,12.8,4642.0,0.17,188.5,0.17,0.18,0.23,0.1,0.13,48.57,38.27,1.15,0.16,0.17,69.09,0,1.1,239.69,0.18,3.83,0.42,2.61,-1.04,-0.29,1.22,0.0,1.22,31,1890,0.0,24.63,102,73,1659.52,649.0,389.98,183.66,4.26,0,3426.57,66.16,6.09,0,0
689,42,18,42.56,593.5,159,145800,73.44,8.79,1371.0,0.12,106.3,0.15,0.16,0.18,0.13,0.05,51.32,42.36,1.1,0.14,0.16,69.09,0,1.06,239.69,0.18,3.83,0.77,2.88,-0.97,-0.54,1.22,0.0,1.22,16,1170,0.01,12.89,102,73,484.66,201.25,148.25,53.88,3.27,0,3254.06,66.13,6.0,0,0
