,name,year,fuel,seller_type,transmission,owner,selling_price_in_lacks,km_driven_in_lacks
250,Maruti Omni MPI STD BSIV,2018,4,1,1,0,2.0,0.1
251,Maruti Baleno Alpha 1.2,2017,4,0,1,0,6.25,0.52
252,Ford Fiesta Classic 1.4 SXI Duratorq,2006,1,1,1,4,1.1,1.2
253,Hyundai Elite i20 Asta Option BSIV,2019,4,1,1,0,8.0,0.1124
254,Hyundai Grand i10 CRDi Magna,2017,1,0,1,0,4.9,0.66
255,Maruti Ertiga SHVS ZDI,2017,1,0,1,0,8.8,0.64
256,Hyundai Santro Xing GL Plus,2013,4,1,1,0,2.9,0.49
257,Tata Sumo GX TC 7 Str BSIII,2006,1,1,1,2,1.15999,1.0
258,Renault KWID RXT,2018,4,1,1,0,3.6,0.265
259,Maruti 800 AC,2002,4,1,1,2,0.65,1.0
260,Maruti Vitara Brezza LDi Option,2017,1,0,1,0,6.85,0.72
261,Honda Jazz S,2009,4,1,1,0,3.0,0.5
262,Hyundai i20 1.4 Sportz,2017,1,0,1,0,6.8,0.44
263,Maruti Ertiga SHVS ZDI Plus,2017,1,1,1,2,10.0,0.6
264,Tata Sumo SE Plus BSIII,2002,1,1,1,0,1.0,1.2
265,Mahindra Xylo E4,2010,1,1,1,0,1.6,1.3
266,Maruti Swift ZDi BSIV,2017,1,1,1,0,4.5,0.7
267,Maruti Ertiga VXI,2014,4,1,1,0,6.0,0.2
268,Hyundai i20 1.4 Magna ABS,2009,1,1,1,2,1.8,0.6
269,Maruti Alto LXi,2007,4,1,1,0,1.0,1.95
